mtm;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
0505006;;;;;;;;;;;27300;25100;22900;20500;18900;;;;;;;;;;
0505011;;;49800;45500;41400;37600;33800;30400;27400;24600;22200;20000;18000;16200;;;;;;;;;;;
C9919010;;;49800;45500;41400;37600;33800;30400;27400;24600;22200;20000;18000;16200;;;;;;;;;;;
0505014;;;49800;45500;41400;37600;33800;30400;27400;24600;22200;20000;18000;16200;;;;;;;;;;;
C9919014;;;49800;45500;41400;37600;33800;30400;27400;24600;22200;20000;18000;16200;;;;;;;;;;;
C9919004;;;;;36000;33000;30000;28400;27300;24600;21800;19100;16400;13700;12600;;;;;;;;;;
0505017;;;;;36000;33000;30000;28400;27300;24600;21800;19100;16400;13700;12600;;;;;;;;;;
0505001;;;;;36000;33000;30000;28400;27300;24600;21800;19100;16400;13700;12600;;;;;;;;;;
C9919003;;;;;;;;;;;;;;13700;12600;;;;;;;;;;
0505004;;;;;;;;;;24000;21800;19700;17500;15200;14200;;;;;;;;;;
C9919008;;;;;;;;;;24000;21800;19700;17500;15200;14200;;;;;;;;;;
0505010;;;63000;57800;52500;47800;43000;38700;34900;31400;28200;25400;22900;20600;;;;;;;;;;;
0505012;;;42000;38600;35100;31800;28700;25800;23200;20900;18800;16900;15200;13700;;;;;;;;;;;
C9919015;;;42000;38600;35100;31800;28700;25800;23200;20900;18800;16900;15200;13700;;;;;;;;;;;
0505009;;;;;;;;;;;26200;24000;21800;19400;17900;16300;;;;;;;;;
C9919005;;;;;;;;;;;26200;24000;21800;19400;17900;16300;;;;;;;;;
0505008;;;;;;;;;;;21800;20200;18600;16300;14700;13800;;;;;;;;;
C9919006;;;;;;;;;;;21800;20200;18600;16300;14700;13800;;;;;;;;;
C9918006;;;;;;;;;;;21800;20200;18600;16300;14700;13800;;;;;;;;;
0505013;;;54600;50200;45600;41500;37400;33600;30300;27200;24500;22100;19800;17900;;;;;;;;;;;
C9919009;;;54600;50200;45600;41500;37400;33600;30300;27200;24500;22100;19800;17900;;;;;;;;;;;
0505016;;;111000;101600;92400;84000;75600;68000;;;;;;;;;;;;;;;;;
0505002;;;;;;;;;25200;24000;21800;19700;17500;14700;12600;;;;;;;;;;
C9919002;;;;;;;;;25200;24000;21800;19700;17500;14700;12600;;;;;;;;;;
0505018;;;;;;;;;25200;24000;21800;19700;17500;14700;12600;;;;;;;;;;
0687501;826000;750000;;;;;;;;;;;;;;;;;;;;;;;
30119058;;;;;3500000;3200000;3000000;;;;;;;;;;;;;;;;;;
30119052;;;;;3500000;3200000;3000000;;;;;;;;;;;;;;;;;;
30119051;;;;;3500000;3200000;3000000;;;;;;;;;;;;;;;;;;
30119057;;;4000000;3600000;3300000;3000000;;;;;;;;;;;;;;;;;;;
